airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
IndiGo,672,Pune,Mangalore,Saturday,N,N,N,N,N,Y,N,00:20,01:20,01:00,60.00,2040
IndiGo,6217,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,01:30,01:10,70.00,2380
IndiGo,263,Hyderabad,Mumbai,Saturday,N,N,N,N,N,Y,N,00:20,01:50,01:30,90.00,3060
IndiGo,263,Hyderabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,01:50,01:30,90.00,3060
IndiGo,337,Kochi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,02:05,01:45,105.00,3570
IndiGo,6094,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:20,02:10,01:50,110.00,3740
IndiGo,7274,Tiruchirappalli,Kochi,Tuesday,N,Y,N,N,N,N,N,00:25,01:30,01:05,65.00,2210
IndiGo,5221,Mumbai,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:35,01:10,70.00,2380
SpiceJet,612,Mumbai,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:50,01:25,85.00,2890
AirAsia India,1424,Bengaluru,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,01:55,01:30,90.00,3060
IndiGo,6489,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:25,02:40,02:15,135.00,4590
IndiGo,116,Pune,Goa,Saturday,N,N,N,N,N,Y,N,00:30,01:30,01:00,60.00,2040
IndiGo,116,Pune,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,01:30,01:00,60.00,2040
IndiGo,6085,Mumbai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,01:45,01:15,75.00,2550
Air India,589,Bengaluru,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:30,02:35,02:05,125.00,4250
GoAir,620,Mumbai,Kannur International Airport,Saturday,N,N,N,N,N,Y,N,00:30,02:45,02:15,135.00,4590
SpiceJet,8189,Delhi,Pune,"Sunday,Wednesday,Friday,Saturday",N,N,Y,N,Y,Y,Y,00:30,02:45,02:15,135.00,4590
IndiGo,6086,Mumbai,Kolkata,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,00:30,03:00,02:30,150.00,5100
IndiGo,6489,Mumbai,Delhi,Saturday,N,N,N,N,N,Y,N,00:30,03:05,02:35,155.00,5270
SpiceJet,747,Pune,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,01:45,01:10,70.00,2380
GoAir,413,Ahmedabad,Mumbai,Saturday,N,N,N,N,N,Y,N,00:35,02:00,01:25,85.00,2890
GoAir,413,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,02:00,01:25,85.00,2890
GoAir,383,Mumbai,Kannur International Airport,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,02:25,01:50,110.00,3740
SpiceJet,490,Mumbai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:35,03:15,02:40,160.00,5440
AirAsia India,1731,Kochi,Bengaluru,Monday,Y,N,N,N,N,N,N,00:40,01:50,01:10,70.00,2380
IndiGo,285,Hyderabad,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,01:50,01:10,70.00,2380
IndiGo,6406,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:15,01:35,95.00,3230
SpiceJet,789,Mumbai,Bengaluru,"Sunday,Wednesday,Thursday,Friday",N,N,Y,Y,Y,N,Y,00:40,02:20,01:40,100.00,3400
IndiGo,6406,Pune,Chennai,Saturday,N,N,N,N,N,Y,N,00:40,02:25,01:45,105.00,3570
IndiGo,6406,Pune,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:25,01:45,105.00,3570
