airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
Vistara,693,Delhi,Amritsar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:00,00:40,40.00,1360
IndiGo,498,Ranchi,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:05,00:45,45.00,1530
GoAir,204,Leh,Srinagar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:15,00:55,55.00,1870
Air India,507,Mumbai,Hubli,"Wednesday,Saturday",N,N,Y,N,N,Y,N,08:20,09:15,00:55,55.00,1870
IndiGo,2251,Guwahati,Imphal,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:15,00:55,55.00,1870
IndiGo,782,Chennai,Coimbatore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:20,01:00,60.00,2040
IndiGo,7403,Udaipur,Jaipur,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,08:20,09:20,01:00,60.00,2040
Jet Airways,943,Kolkata,Guwahati,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:25,01:05,65.00,2210
SpiceJet,3254,Calicut,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:20,09:25,01:05,65.00,2210
IndiGo,537,Kochi,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:25,01:05,65.00,2210
IndiGo,906,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:25,01:05,65.00,2210
TruJet,532,Salem,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:30,01:10,70.00,2380
SpiceJet,2972,Jaipur,Ahmedabad,Tuesday,N,Y,N,N,N,N,N,08:20,09:30,01:10,70.00,2380
SpiceJet,1042,Tirupati,Hyderabad,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Y,N,Y,Y,Y,Y,Y,08:20,09:35,01:15,75.00,2550
IndiGo,6521,Lucknow,Ranchi,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,08:20,09:35,01:15,75.00,2550
IndiGo,7974,Udaipur,Bhopal,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,08:20,09:35,01:15,75.00,2550
IndiGo,2025,Amritsar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:40,01:20,80.00,2720
SpiceJet,8160,Delhi,Jammu,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:40,01:20,80.00,2720
IndiGo,6521,Lucknow,Raipur,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,08:20,09:40,01:20,80.00,2720
IndiGo,7105,Ranchi,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:40,01:20,80.00,2720
Air India,3420,Leh,Delhi,"Tuesday,Friday",N,Y,N,N,Y,N,N,08:20,09:45,01:25,85.00,2890
Air India,3450,Leh,Delhi,"Monday,Thursday,Saturday",Y,N,N,Y,N,Y,N,08:20,09:45,01:25,85.00,2890
Vistara,717,Delhi,Patna,"Sunday,Monday,Wednesday,Thursday,Friday",Y,N,Y,Y,Y,N,Y,08:20,09:45,01:25,85.00,2890
IndiGo,7259,Aurangabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:45,01:25,85.00,2890
AirAsia India,802,Chennai,Visakhapatnam,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:50,01:30,90.00,3060
Alliance Air (India),880,Hubli,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:50,01:30,90.00,3060
FlyBig,202,Tezu,Guwahati,"Monday,Wednesday,Friday,Saturday",Y,N,Y,N,Y,Y,N,08:20,09:50,01:30,90.00,3060
Vistara,874,Hyderabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:50,01:30,90.00,3060
GoAir,204,Leh,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:55,01:35,95.00,3230
IndiGo,7242,Tuticorin,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:55,01:35,95.00,3230
SpiceJet,1007,Nasik,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,09:55,01:35,95.00,3230
Alliance Air (India),539,Vijayawada,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:00,01:40,100.00,3400
IndiGo,5325,Mumbai,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:00,01:40,100.00,3400
IndiGo,5325,Mumbai,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:00,01:40,100.00,3400
IndiGo,6707,Hyderabad,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:00,01:40,100.00,3400
Alliance Air (India),852,Jaisalmer,Ahmedabad,"Monday,Wednesday,Friday,Saturday",Y,N,Y,N,Y,Y,N,08:20,10:00,01:40,100.00,3400
SpiceJet,511,Ahmedabad,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:05,01:45,105.00,3570
Jet Airways,397,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:05,01:45,105.00,3570
SpiceJet,497,Mumbai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:10,01:50,110.00,3740
IndiGo,726,Guwahati,Varanasi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:15,01:55,115.00,3910
Jet Airways,145,Indore,Jaipur,"Sunday,Tuesday,Thursday,Friday",N,Y,N,Y,Y,N,Y,08:20,10:25,02:05,125.00,4250
SpiceJet,789,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:25,02:05,125.00,4250
SpiceJet,372,Chennai,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:35,02:15,135.00,4590
Vistara,825,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:35,02:15,135.00,4590
Air India,604,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:35,02:15,135.00,4590
AirAsia India,778,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:40,02:20,140.00,4760
IndiGo,5336,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:45,02:25,145.00,4930
Alliance Air (India),890,Ahmedabad,Delhi,Friday,N,N,N,N,Y,N,N,08:20,10:45,02:25,145.00,4930
IndiGo,247,Patna,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:45,02:25,145.00,4930
SpiceJet,4572,Mumbai,Leh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,10:50,02:30,150.00,5100
IndiGo,115,Varanasi,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:20,10:55,02:35,155.00,5270
AirAsia India,778,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Y,Y,Y,Y,N,Y,Y,08:20,10:55,02:35,155.00,5270
AirAsia India,1536,Kolkata,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,11:00,02:40,160.00,5440
Vistara,741,Delhi,Dibrugarh,"Sunday,Monday,Wednesday,Friday,Saturday",Y,N,Y,N,Y,Y,Y,08:20,11:05,02:45,165.00,5610
Jet Airways,824,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,11:15,02:55,175.00,5950
IndiGo,205,Mumbai,Bagdogra,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,08:20,11:15,02:55,175.00,5950
Air India,512,Delhi,Thiruvananthapuram,Tuesday,N,Y,N,N,N,N,N,08:20,11:30,03:10,190.00,6460
IndiGo,279,Lucknow,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,11:30,03:10,190.00,6460
Vistara,808,Bengaluru,Delhi,"Sunday,Wednesday,Thursday,Friday,Saturday",N,N,Y,Y,Y,Y,Y,08:20,11:35,03:15,195.00,6630
Vistara,808,Bengaluru,Delhi,Tuesday,N,Y,N,N,N,N,N,08:20,11:35,03:15,195.00,6630
Vistara,808,Bengaluru,Delhi,Monday,Y,N,N,N,N,N,N,08:20,11:35,03:15,195.00,6630
SpiceJet,753,Hyderabad,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,12:20,04:00,240.00,2625
AirAsia India,632,Ranchi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:20,12:30,04:10,250.00,2750
Air India,482,Bhopal,Delhi,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,08:20,12:50,04:30,270.00,2875
SpiceJet,2472,Dehradun,Delhi,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,N,08:25,09:15,00:50,50.00,1700
SpiceJet,1004,Vijayawada,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:20,00:55,55.00,1870
SpiceJet,2472,Dehradun,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:20,00:55,55.00,1870
AirAsia India,2392,Chennai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
IndiGo,6209,Coimbatore,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
IndiGo,433,Mangalore,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
SpiceJet,3615,Mangalore,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
IndiGo,7975,Kannur International Airport,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
IndiGo,6047,Chennai,Coimbatore,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:25,01:00,60.00,2040
IndiGo,861,Kolkata,Agartala,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:30,01:05,65.00,2210
IndiGo,6565,Bengaluru,Calicut,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:30,01:05,65.00,2210
Jet Airways,3555,Lucknow,Allahabad,"Monday,Wednesday,Saturday",Y,N,Y,N,N,Y,N,08:25,09:35,01:10,70.00,2380
SpiceJet,1215,Madurai,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:35,01:10,70.00,2380
GoAir,466,Srinagar,Jammu,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:25,09:35,01:10,70.00,2380
IndiGo,188,Chennai,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:35,01:10,70.00,2380
Vistara,936,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:35,01:10,70.00,2380
AirAsia India,2887,Indore,Bengaluru,Monday,Y,N,N,N,N,N,N,08:25,09:40,01:15,75.00,2550
IndiGo,557,Visakhapatnam,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:40,01:15,75.00,2550
GoAir,2510,Lucknow,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:40,01:15,75.00,2550
IndiGo,7934,Dimapur,Dibrugarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:40,01:15,75.00,2550
IndiGo,151,Hyderabad,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:50,01:25,85.00,2890
Air India,706,Dibrugarh,Kolkata,"Sunday,Wednesday,Thursday,Saturday",N,N,Y,Y,N,Y,Y,08:25,09:50,01:25,85.00,2890
IndiGo,482,Mumbai,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:55,01:30,90.00,3060
IndiGo,482,Mumbai,MIHAN,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,09:55,01:30,90.00,3060
GoAir,616,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:05,01:40,100.00,3400
GoAir,616,MIHAN,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:05,01:40,100.00,3400
SpiceJet,1268,Hyderabad,Bhopal,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:25,10:05,01:40,100.00,3400
IndiGo,6163,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:05,01:40,100.00,3400
GoAir,551,Hyderabad,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:25,10:10,01:45,105.00,3570
Air India,470,Nagpur,Delhi,"Tuesday,Saturday",N,Y,N,N,N,Y,N,08:25,10:10,01:45,105.00,3570
Air India,470,MIHAN,Delhi,"Tuesday,Saturday",N,Y,N,N,N,Y,N,08:25,10:10,01:45,105.00,3570
IndiGo,702,Bengaluru,Indore,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:25,10:10,01:45,105.00,3570
SpiceJet,3219,Silchar,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:10,01:45,105.00,3570
Air India,481,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Y,Y,Y,Y,N,Y,Y,08:25,10:10,01:45,105.00,3570
GoAir,168,Patna,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:15,01:50,110.00,3740
Jet Airways,145,Indore,Jaipur,"Monday,Wednesday,Thursday,Saturday",Y,N,Y,Y,N,Y,N,08:25,10:20,01:55,115.00,3910
IndiGo,702,Bengaluru,Indore,"Sunday,Wednesday,Thursday,Friday,Saturday",N,N,Y,Y,Y,Y,Y,08:25,10:25,02:00,120.00,4080
IndiGo,702,Bengaluru,Indore,Tuesday,N,Y,N,N,N,N,N,08:25,10:25,02:00,120.00,4080
IndiGo,2179,Bhubaneswar,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:25,02:00,120.00,4080
AirAsia India,2887,Indore,Bengaluru,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:25,10:30,02:05,125.00,4250
IndiGo,718,Ranchi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:30,02:05,125.00,4250
Jetlite,365,Delhi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Y,Y,Y,Y,N,Y,Y,08:25,10:35,02:10,130.00,4420
SpiceJet,2932,Jabalpur,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:25,10:35,02:10,130.00,4420
SpiceJet,1072,Kochi,Tirupati,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:35,02:10,130.00,4420
Alliance Air (India),752,Lilabari,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:35,02:10,130.00,4420
IndiGo,179,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:40,02:15,135.00,4590
IndiGo,6188,Chennai,Surat,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:40,02:15,135.00,4590
IndiGo,2442,Mumbai,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:40,02:15,135.00,4590
AirAsia India,882,Bagdogra,Delhi,Friday,N,N,N,N,Y,N,N,08:25,10:45,02:20,140.00,4760
IndiGo,144,Varanasi,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:45,02:20,140.00,4760
IndiGo,495,Hyderabad,Bagdogra,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:45,02:20,140.00,4760
IndiGo,376,Chandigarh,Kolkata,"Monday,Wednesday,Friday,Saturday",Y,N,Y,N,Y,Y,N,08:25,10:50,02:25,145.00,4930
Alliance Air (India),881,Mysore,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:50,02:25,145.00,4930
IndiGo,6154,Kolkata,Udaipur,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,08:25,10:50,02:25,145.00,4930
Jet Airways,146,Lucknow,Jaipur,Thursday,N,N,N,Y,N,N,N,08:25,10:55,02:30,150.00,5100
IndiGo,583,Bhubaneswar,Kochi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:55,02:30,150.00,5100
IndiGo,296,Port Blair,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:55,02:30,150.00,5100
IndiGo,6154,Kolkata,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:55,02:30,150.00,5100
Air India,771,Kolkata,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,10:55,02:30,150.00,5100
Air India,488,Visakhapatnam,Delhi,Wednesday,N,N,Y,N,N,N,N,08:25,10:55,02:30,150.00,5100
GoAir,562,Chandigarh,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:25,11:00,02:35,155.00,5270
SpiceJet,8720,Patna,Ahmedabad,"Sunday,Tuesday,Thursday",N,Y,N,Y,N,N,Y,08:25,11:00,02:35,155.00,5270
SpiceJet,391,Ahmedabad,Darbhanga,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:25,11:00,02:35,155.00,5270
IndiGo,6154,Kolkata,Jodhpur,"Sunday,Tuesday,Thursday,Saturday",N,Y,N,Y,N,Y,Y,08:25,11:00,02:35,155.00,5270
IndiGo,344,Bengaluru,Kolkata,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:05,02:40,160.00,5440
AirAsia India,737,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:05,02:40,160.00,5440
Vistara,544,Bhubaneswar,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:05,02:40,160.00,5440
Vistara,741,Delhi,Dibrugarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:05,02:40,160.00,5440
IndiGo,6439,Coimbatore,Kolkata,"Monday,Wednesday,Friday",Y,N,Y,N,Y,N,N,08:25,11:10,02:45,165.00,5610
IndiGo,6513,Kolkata,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:10,02:45,165.00,5610
IndiGo,6238,Delhi,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:15,02:50,170.00,5780
IndiGo,2859,Delhi,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:20,02:55,175.00,5950
IndiGo,5032,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:20,02:55,175.00,5950
IndiGo,2859,Delhi,Chennai,Monday,Y,N,N,N,N,N,N,08:25,11:20,02:55,175.00,5950
IndiGo,2859,Delhi,Chennai,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",N,Y,Y,Y,Y,Y,Y,08:25,11:20,02:55,175.00,5950
IndiGo,831,Guwahati,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:25,11:40,03:15,195.00,6630
Vistara,862,Goa,Mumbai,Saturday,N,N,N,N,N,Y,N,08:25,22:05,13:40,820.00,800
AirAsia India,7010,Chennai,Port Blair,Saturday,N,N,N,N,N,Y,N,08:30,09:10,00:40,40.00,1360
Alliance Air (India),823,Shimla,Kullu,Saturday,N,N,N,N,N,Y,N,08:30,09:10,00:40,40.00,1360
Alliance Air (India),807,Kullu,Chandigarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:15,00:45,45.00,1530
Alliance Air (India),807,Kullu,Chandigarh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Y,Y,Y,Y,Y,N,Y,08:30,09:15,00:45,45.00,1530
GoAir,204,Leh,Jammu,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:15,00:45,45.00,1530
SpiceJet,280,Srinagar,Jammu,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:20,00:50,50.00,1700
SpiceJet,3254,Visakhapatnam,Vijayawada,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:25,00:55,55.00,1870
SpiceJet,3247,Gwalior,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:25,00:55,55.00,1870
SpiceJet,4424,Mumbai,Surat,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:25,00:55,55.00,1870
SpiceJet,3254,Visakhapatnam,Vijayawada,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Y,N,Y,Y,Y,Y,Y,08:30,09:30,01:00,60.00,2040
Alliance Air (India),861,Delhi,Chandigarh,"Tuesday,Thursday",N,Y,N,Y,N,N,N,08:30,09:30,01:00,60.00,2040
IndiGo,251,Guwahati,Imphal,"Wednesday,Thursday,Saturday",N,N,Y,Y,N,Y,N,08:30,09:30,01:00,60.00,2040
Alliance Air (India),624,Diu,Mumbai,Monday,Y,N,N,N,N,N,N,08:30,09:35,01:05,65.00,2210
IndiGo,2107,Delhi,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:35,01:05,65.00,2210
Jet Airways,391,Vadodara,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,08:30,09:40,01:10,70.00,2380
